repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds,base_sha_of_first_sample_pr,python_requires,lock_kind
helpfulengineering/supply-graph-ai,14,2026-08-31T01:16:46Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,9,428;425;424;423;422,claude-code-gen;robot-gen,01ec755d5ae14269bc0bc2d7b4cf6af54d1b015e,>=3.12,uv.lock
SenolIsci/mykg,67,2026-08-31T00:27:09Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,8,61;59;57;56;52,claude-code-gen;robot-gen,02710e26faabd84e683ed9746e3c2c930bb3ab03,>=3.11,uv.lock
cymoo/lovia,15,2026-08-22T07:50:58Z,uv.lock+pyproject.toml,pyproject:pytest-dep|pytest.ini|tests/conftest.py|tests/test_*.py,8,197;196;194;193;192,claude-code-gen;robot-gen,2d2581e63b8df5a48be007a235aa1c34524461ce,>=3.10,uv.lock
eniklas/gamatrix,14,2026-08-09T03:35:09Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,8,187;184;180;179;177,claude-coauthor;claude-code-gen;robot-gen,f563b7bf36bdc571da91cfad536f73634005dcf6,>=3.12,uv.lock
paulomtts/pyjinhx,10,2026-08-29T22:17:19Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,8,1064;1063;1062;1061;1059,claude-coauthor;claude-code-gen;robot-gen,df35c253034ec0bbcedd0d75e405acc1790242e3,>=3.13,uv.lock
headroomlabs-ai/headroom,68115,2026-08-30T10:07:52Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,7,3286;3271;3270;3261;3213,claude-code-gen;robot-gen,4f2e70a75cd2870c23b1905dcb8c7f8d13aea6b0,>=3.10,uv.lock
usestrix/strix,59516,2026-08-28T20:46:50Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,7,1025;1024;1023;1022;1021,claude-code-gen;robot-gen,c29eb73c7f711fa7ef19aff0ecb23d9bdfed1f6d,>=3.12,uv.lock
Datus-ai/Datus-agent,1653,2026-08-29T04:08:43Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|pytest.ini|tests/conftest.py,7,1370;1369;1361;1358;1354,claude-code-gen;robot-gen,ea0f4970b256b53e8dfb3e2dc2afbeb010c61a82,>=3.12,uv.lock
commit-check/commit-check,71,2026-08-26T22:08:11Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],7,540;537;534;532;506,claude-coauthor;claude-code-gen;codex;copilot;cursor;robot-gen,61bd9941668c15bdb42785382ed91b82da533484,>=3.10,uv.lock
DoRmAmMu1997/My-Algo-Trading-Code,12,2026-08-30T21:33:37Z,pinned:requirements-ai.txt,pyproject:[tool.pytest.ini_options],7,134;124;122;117;100,claude-coauthor;claude-code-gen;codex;robot-gen,a4553ecc7d95d34cc39378460917949c43975e3f,,pinned-requirements
debpalash/VoiceStudio,12124,2026-08-30T17:32:03Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,6,1666;1565;1557;1550;1549,claude-coauthor;claude-code-gen;robot-gen,032c5aba86b0c85278d339ffa2777e18daa2c591,>=3.11,uv.lock
karanhudia/borg-ui,1600,2026-08-28T10:32:10Z,pinned:requirements.txt,pytest.ini|tests/conftest.py,6,854;853;852;851;850,claude-code-gen;codex;robot-gen,d16aecc2240facbfa1aaeadf859eda7273a60a8e,>=3.11,pinned-requirements
vllm-project/guidellm,1557,2026-08-30T03:22:25Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],6,1044;1042;994;732;615,claude-coauthor;claude-code-gen;cursor;robot-gen,a45301dbd51c2453c494dc36928eef8451971e26,">=3.10.0,<4.0",uv.lock
experientiallabs/experiential,770,2026-08-31T01:15:52Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options],6,685;683;680;679;677,claude-code-gen;robot-gen,0910049ccef5c1bacfd76a7eb6d50cf31ebcf3c4,>=3.12,uv.lock
OpenRAL/openral,31,2026-08-30T18:35:18Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options]|tests/conftest.py,6,162;154;151;150;148,claude-code-gen;robot-gen,ccda83b6134d3704082828b68f16053a5a089701,">=3.12,<3.13",uv.lock
AvaCodeSolutions/django-email-learning,23,2026-08-30T22:38:52Z,poetry.lock,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,6,763;760;735;717;711,claude-code-gen;robot-gen,9988753097c150fe567e72f11433d72802c472f2,">=3.12,<4.0",poetry.lock
cdnwetzel/pxx,18,2026-08-29T12:10:45Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,6,29;25;21;17;12,claude-code-gen;robot-gen,93e9c665ab8c7bde6e2c5c5592844f8ad706b470,>=3.11,uv.lock
MadSkittles/Router-Maestro,17,2026-08-29T12:15:24Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,6,166;162;160;157;156,claude-code-gen;robot-gen,85361fc93297cfbe9de8ee25faa5ebce5488cdb9,>=3.14,uv.lock
vamseeachanta/workspace-hub,16,2026-08-30T23:17:07Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,6,3701;3700;3697;3411;3238,claude-code-gen;robot-gen,ef2790655b279daa19918c15255d7cc5be3b3337,>=3.11,uv.lock
mcp-hangar/mcp-hangar,14,2026-08-30T09:40:54Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],6,662;661;660;657;656,claude-coauthor,df3813fb0629eb3302c0f63576434d0b30c40b96,>=3.11,uv.lock
synaptent/aragora,11,2026-08-31T01:05:16Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,6,8442;8413;8376;7782;7777,codex,727c35bf53d075a1f3b2f08873448058ed368dc4,>=3.10,uv.lock
taoq-ai/ziran,10,2026-08-29T08:37:41Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,6,406;403;402;401;391,claude-code-gen;robot-gen,ee48f24045f2ef5735a575c8277bae4f3db68b44,>=3.11,uv.lock
FalkorDB/QueryWeaver,1072,2026-08-30T14:27:06Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,722;720;646;644;643,claude-code-gen;copilot;robot-gen,cade79d0c0467d75232788b5c4f216248877baef,>=3.12,uv.lock
partcad/partcad,491,2026-08-31T01:12:46Z,poetry.lock,pyproject:[tool.pytest.ini_options],5,567;566;565;564;557,claude-code-gen;robot-gen,314290fc02586f9e2b9d4024b8aeb6618b6d9ed6,">=3.10,<3.15",poetry.lock
Ikalus1988/MisakaNet,432,2026-08-30T23:35:59Z,uv.lock+pyproject.toml,pyproject:pytest-dep|tests/conftest.py|tests/test_*.py,5,1282;1255;1254;1250;1247,claude-code-gen;robot-gen,0c08f6b0ed2e7e7640e8d8218bd3adff5ba5661f,>=3.10,uv.lock
UiPath/coder_eval,119,2026-08-28T22:14:56Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,144;143;133;127;119,claude-coauthor;claude-code-gen;robot-gen,5532b87ac218f6e413479ad7e2eb8d11d89686b9,>=3.13,uv.lock
cyzus/suzent,64,2026-08-31T01:13:13Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,159;158;157;148;127,claude-code-gen;robot-gen,6b41e31d1bbda528eb37d7ebf8000510a12d4caa,>=3.12,uv.lock
Jamie-BitFlight/claude_skills,64,2026-08-31T01:13:07Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,5,3349;3345;3344;3343;3341,claude-coauthor;claude-code-gen;robot-gen,1e63363985b9f58ccc83dc5473a669fca854d154,>=3.11,uv.lock
pvliesdonk/markdown-vault-mcp,31,2026-08-30T20:26:33Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,1171;1169;1141;1132;1000,claude-coauthor;claude-code-gen;robot-gen,78e72227c429b22d88f41e23a18a4da147956037,>=3.11,uv.lock
Consiliency/pmcp,20,2026-08-31T00:18:10Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,5,214;208;205;204;82,claude-code-gen;robot-gen,5b7f767a38c8ce9e662eab23b3e8fd62061e78f4,>=3.10,uv.lock
PostHog/posthog,39485,2026-08-31T01:05:55Z,uv.lock+pyproject.toml,conftest.py|pyproject:pytest-dep|pytest.ini,4,91029;89843;88990;65180,claude-code-gen;robot-gen,0b766bb17c1d01bc7d8dd96e42d36a8f085bdd8d,==3.13.13,uv.lock
gadievron/raptor,3686,2026-08-30T23:12:27Z,pinned:requirements-dev.txt,conftest.py|pytest.ini,4,922;921;920;919,claude-coauthor,e6d99ae025a2ccb6a6844234bd54408a6724314b,">=3.10,<4.0",pinned-requirements
Kohei-Wada/taskdog,351,2026-08-28T00:23:12Z,uv.lock+pyproject.toml,pyproject:pytest-dep,4,1199;1111;1110;1104,claude-code-gen;robot-gen,ab5b7cb7609effc43f9322e0ad5024d4898aab4c,>=3.12,uv.lock
Ishannaik/agent-sweep,76,2026-08-25T21:37:57Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,4,12;7;3;2,claude-code-gen;robot-gen,a5855814131ca13dfd9fc65b065bb9ed744011fb,>=3.11,uv.lock
CERTCC/Vultron,21,2026-08-28T22:11:05Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],4,2815;2756;2718;2705,claude-code-gen;robot-gen,124d44938fb55a950bb6a8c1cbb7900902bcc477,>=3.12,uv.lock
mvanhorn/last30days-skill,60510,2026-08-30T18:45:02Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,993;924;725,claude-coauthor;claude-code-gen;robot-gen,e93c8249d8ba073e8e88c388ed1f0fc403ffd86e,>=3.12,uv.lock
harbor-framework/harbor,4783,2026-08-31T00:03:27Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,3,2862;2857;2605,claude-code-gen;robot-gen,72f7dd0134162c5b7229f6a31286e05a49c0f8a4,>=3.12,uv.lock
Project-N-E-K-O/N.E.K.O,2708,2026-08-30T13:19:21Z,uv.lock+pyproject.toml,pyproject:pytest-dep|pytest.ini|tests/conftest.py|tests/test_*.py,3,2997;2985;1531,claude-coauthor;claude-code-gen;robot-gen,bde62d5de65e3980950734eb2111f6301e3bcc68,==3.11.*,uv.lock
xyTom/coding-tools-mcp,946,2026-08-24T00:03:54Z,uv.lock+pyproject.toml,tests/test_*.py,3,28;21;20,claude-code-gen;robot-gen,ead3564ad2434ef21e7e5faf6f1c19e38504d7f5,>=3.11,uv.lock
promptdriven/pdd,855,2026-08-24T16:17:46Z,pinned:requirements.txt,pyproject:[tool.pytest.ini_options]|pytest.ini|tests/conftest.py|tests/test_*.py,3,2332;2329;2328,claude-code-gen;robot-gen,f971b38718e55111b7d46d431c2be665f7ec7488,>=3.12,pinned-requirements
open-reaction-database/ord-data,343,2026-08-31T01:11:22Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],3,266;263;262,claude-code-gen;robot-gen,01979ec78e5c1168c3b151714bd509352a8baf9b,>=3.11,uv.lock
ffroliva/gflow-cli,137,2026-08-30T17:39:08Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,527;525;518,claude-code-gen;robot-gen,1dacd9b63d71d9f5076847b5f404b056023fab01,>=3.11,uv.lock
TeichAI/teich,131,2026-08-27T06:24:41Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,26;25;23,claude-code-gen;robot-gen,1d7ba7c95c8c34b6f66862ea35b79afab05e00d9,>=3.10,uv.lock
Azure/gpt-rag-orchestrator,101,2026-08-17T21:50:17Z,pinned:requirements.txt,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,308;269;246,copilot,8c647dab49af2eec7e14fb09e3301cb6ab6b30aa,>=3.12,pinned-requirements
FZJ-IEK3-VSA/HiSim,45,2026-08-30T16:55:24Z,pinned:requirements.txt,pytest.ini|tests/conftest.py|tests/test_*.py,3,587;571;566,claude-coauthor;claude-code-gen;robot-gen,badb744670476cffcec75af9f96941d0cc0a1354,,pinned-requirements
ifnull/ha-airspace,24,2026-08-30T23:54:04Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,63;59;58,claude-code-gen;robot-gen,819a5752528ff6526bb8f7ca02834d592bcf8b94,>=3.12,uv.lock
djtelicloud/grok-mcp-server,23,2026-08-20T23:37:59Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,3,508;500;33,claude-code-gen;copilot;robot-gen,765997fb36713c3c7e4880843b8d9ec723e67169,>=3.12,uv.lock
Azure/agentops,13,2026-08-28T15:43:51Z,uv.lock+pyproject.toml,pyproject:pytest-dep|tests/conftest.py,3,308;307;306,copilot,a7594d0a32979d5130c751330e2ba2ec310152c6,>=3.11,uv.lock
druide67/asiai,11,2026-08-30T01:18:21Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,90;88;85,claude-code-gen;robot-gen,0c7530ef2a24fafd05f874b63e2e5daf69c98bb1,>=3.11,uv.lock
FunFR/ha-indygo-pool,11,2026-08-30T00:49:55Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,3,208;202;200,claude-code-gen;robot-gen,e79c97cea55cc2fc8fa13316054d3f3ed1182032,>=3.14.2,uv.lock
